,F,N,Plate-IFU,g,i,r,u,z
1531,19.327824,30.978008,b'11978-6101',610.7117,1616.1245,1140.816,169.42444,2023.9991
1532,2.270708,-0.813963,b'11978-6102',141.05487,578.3541,356.20667,44.654453,670.47504
1533,0.5329641,3.8013043,b'11978-6104',623.2346,2113.7844,1399.3937,113.551186,2887.9253
1534,-0.95806485,1.1293837,b'11978-9101',515.6831,1795.1229,1119.936,93.171844,2379.7012
1535,9.363764,7.286556,b'11978-9102',303.20526,1099.3927,691.619,81.52759,1769.9503
1536,4.2748775,21.312212,b'11979-12701',3439.401,11452.955,7374.794,892.146,15716.277
1537,8.113016,13.511984,b'11979-12702',1210.5725,4047.811,2629.7844,282.57028,5121.6045
1538,43.717,66.0362,b'11979-12703',1059.226,2812.79,2003.1946,330.29352,3600.3865
1539,44.78215,65.87019,b'11979-12704',738.4485,1827.1484,1271.7417,222.57945,2163.3335
1540,15.663481,29.088768,b'11979-12705',771.99445,2258.1538,1636.3496,195.67079,2723.56
1541,-0.25058296,0.9090952,b'11979-1901',65.164566,182.94609,126.418495,10.5232935,230.55388
1542,0.16118719,0.12717743,b'11979-1902',168.12173,587.45123,388.0772,31.615303,818.9552
1543,4.9989433,-0.09003538,b'11979-3701',173.83775,684.62976,438.0062,47.68096,833.2187
1544,4.991952,5.6272807,b'11979-3702',163.71991,515.51324,340.68414,41.788757,729.8484
1545,0.08151301,0.96141535,b'11979-3703',186.46806,633.0769,416.21555,41.201023,869.19525
1546,3.087663,7.2410336,b'11979-3704',463.75766,1545.5193,1028.9865,98.72231,2044.7954
1547,13.410423,24.851233,b'11979-6101',560.3788,1754.6414,1174.5009,141.04459,2296.8733
1548,1.9545794,1.4296241,b'11979-6102',202.47754,756.6982,481.97333,40.850006,998.19995
1549,1.732627,5.994371,b'11979-6103',71.76474,173.30795,123.70021,31.321009,211.03926
1550,8.100321,9.161673,b'11979-6104',477.9688,1574.318,1036.916,125.15457,1937.3549
1551,33.09115,45.737484,b'11979-9101',783.1673,2332.85,1490.7006,218.84816,2477.4019
1552,21.925152,41.81705,b'11979-9102',907.6059,2728.0234,1849.0178,260.15833,3601.3826
1553,20.890646,19.877342,b'11982-12701',1246.3313,4870.584,2915.4956,164.95767,7184.376
1554,-1.2718865,3.9155247,b'11982-12702',1743.4822,5751.383,3832.482,395.21353,7682.1284
1555,7.671634,9.196981,b'11982-12703',122.591064,379.55222,155.63695,31.317842,467.63885
1556,40.79002,58.017067,b'11982-12704',1161.7007,2518.665,1902.2562,418.72656,2937.2834
1557,10.971491,13.966641,b'11982-12705',244.81346,641.54297,449.37552,75.21221,842.7864
1558,6.1530643,9.219593,b'11982-1901',123.475204,305.29028,221.19838,35.525776,369.79532
1559,3.064037,3.7197816,b'11982-1902',94.59026,269.3682,184.00496,29.712431,335.0059
1560,2.696125,12.602632,b'11982-3701',747.27423,2550.2944,1590.6592,139.67166,3145.8914
1561,7.4513707,13.590075,b'11982-3702',135.91272,300.16748,215.12228,38.12304,209.93912
1562,13.60765,23.7038,b'11982-3703',492.2128,1404.8218,994.43494,151.16437,1732.2289
1563,28.287018,44.081467,b'11982-3704',1053.4525,3030.234,2091.3767,284.4144,3980.7598
1564,0.0,0.0,b'11982-6101',143.3533,277.36462,221.5708,54.584538,296.8215
1565,15.553533,22.543486,b'11982-6102',181.74261,428.41324,304.22305,71.48622,456.02945
1566,4.3042,3.4870791,b'11982-6103',297.951,1135.8511,704.82294,108.33244,1185.8617
1567,18.25816,23.909603,b'11982-6104',221.2259,612.91077,405.95126,64.43054,641.6219
1568,-0.8174604,2.5165126,b'11982-9101',95.95776,265.42783,170.28737,31.39289,268.13232
1569,54.63436,127.32932,b'11982-9102',2065.2637,5288.825,3763.1467,644.58264,6926.6763
1570,83.19875,149.62267,b'11983-12701',2720.0818,7915.2065,5392.474,732.74585,9746.312
1571,25.599297,41.591396,b'11983-12702',318.0131,781.3552,514.6477,92.11937,783.5894
1572,0.0,0.0,b'11983-12703',438.6301,1518.4111,959.95996,145.10355,2210.6116
1573,3.1134117,5.1529136,b'11983-1901',199.58101,588.5885,405.66043,48.517696,746.60034
1574,0.0,0.0,b'11983-1902',72.19064,193.43457,140.79132,18.876303,242.2165
1575,43.19782,64.10401,b'11983-3701',320.68784,569.4845,467.94577,138.64967,633.18616
1576,2.675201,4.04952,b'11983-3702',146.89636,290.72104,220.61386,59.902576,304.05048
1577,0.0,0.0,b'11983-3703',137.35213,253.98708,196.98396,64.44686,298.75693
1578,0.83536375,1.8362712,b'11983-3704',147.33003,447.59067,300.1543,31.219416,542.8229
1579,-0.31306458,5.675418,b'11983-6101',301.84045,1102.0406,718.293,41.71336,1390.3247
1580,0.0,0.0,b'11983-6102',239.31525,810.7104,543.57196,47.860565,1115.3843
1581,0.0,0.0,b'11983-6103',214.4858,802.9972,507.33148,51.74695,1061.7573
1582,22.851221,28.72184,b'11983-6104',158.65764,259.6164,218.42468,68.26759,292.3638
1583,0.14020939,1.8858773,b'11983-9101',241.91766,853.6794,551.6951,50.67311,1085.9478
1584,0.0,0.0,b'11983-9102',298.94775,897.3361,620.1764,90.55709,1208.9181
1585,49.45748,71.291695,b'11984-12701',679.45154,1571.2072,1084.4109,273.1612,1819.5582
1586,13.865111,17.074627,b'11984-12702',261.95398,720.89014,495.4357,79.465866,952.1435
1587,44.02184,53.43853,b'11984-12703',396.22513,746.9693,568.2516,246.58865,908.26355
1588,20.938496,26.812489,b'11984-12704',1253.845,4696.421,2790.946,251.77473,4956.73
1589,7.642679,8.593908,b'11984-12705',95.21792,187.70677,150.26201,46.803303,60.359104
1590,2.8094716,2.9445977,b'11984-1901',70.08012,228.57454,125.84356,35.05579,183.94934
1591,0.23878302,1.1374538,b'11984-1902',160.96695,480.69284,335.04742,34.377045,626.9763
1592,-0.18973549,4.569571,b'11984-3701',263.5958,900.9552,551.9206,60.261257,1054.2168
1593,0.58499783,2.6050603,b'11984-3702',209.72339,776.0388,504.1083,39.092655,1159.8792
1594,1.7705184,0.35475487,b'11984-3703',191.05574,599.57263,412.06714,53.928566,776.38745
1595,1.2020698,0.9798139,b'11984-3704',129.96394,504.0987,332.52438,54.518715,656.7833
1596,0.21234249,6.5490165,b'11984-6101',641.19,2126.997,1398.4891,143.16339,2674.4397
1597,2.3343961,9.662691,b'11984-6102',485.9138,1607.7909,1072.7804,110.59269,2056.29
1598,23.313368,58.90864,b'11984-6103',656.94995,1577.1055,1139.5813,228.70808,2056.9353
1599,11.404548,23.694801,b'11984-6104',733.8144,2531.319,1639.852,217.76129,3104.7812
1600,8.513166,18.244457,b'11984-9101',216.16083,508.87918,365.77106,65.249,721.0356
1601,9.214063,11.195505,b'11984-9102',146.69505,378.28058,267.1597,76.04064,464.99814
1602,7.25002,14.0716,b'7443-12701',591.108,1394.16,1034.97,159.001,1619.18
1603,29.2929,24.4643,b'7443-12702',257.165,669.107,483.422,59.6336,764.112
1604,91.7491,161.214,b'7443-12703',1455.23,3230.84,2279.77,488.456,3896.53
1605,63.2966,89.0207,b'7443-12704',955.73,2264.04,1740.01,288.23,2393.83
1606,17.2395,28.9161,b'7443-12705',275.032,653.709,470.763,98.5176,746.484
1607,25.6721,32.4201,b'7443-1901',298.784,630.55,486.784,108.527,719.941
1608,-0.124046,9.13325,b'7443-1902',460.943,1082.74,811.528,139.172,1248.12
1609,31.7783,36.7279,b'7443-3701',222.031,411.681,329.685,96.7403,458.393
1610,-0.0954571,0.485692,b'7443-3702',164.878,600.249,403.391,30.7176,825.367
1611,8.23367,1.15669,b'7443-3703',23.0201,86.4076,51.554,46.4343,80.6868
1612,18.0408,22.1687,b'7443-3704',127.285,228.687,185.926,54.6217,257.847
1613,10.7308,13.839,b'7443-6101',80.6347,134.893,111.424,28.501,165.091
1614,46.1569,85.2219,b'7443-6102',1008.31,2366.96,1743.12,323.753,3006.41
1615,64.3332,83.4197,b'7443-6103',553.84,1032.46,820.019,251.665,1353.96
1616,0.172938,3.71929,b'7443-6104',396.666,1270.42,863.779,81.7486,1567.14
1617,55.6637,79.1875,b'7443-9101',705.776,1369.72,1031.06,335.958,1501.08
1618,1.55525,2.65025,b'7443-9102',302.992,1063.22,689.888,132.584,1246.74
1619,3.39347,8.30835,b'7495-12701',252.488,745.206,470.299,93.6086,523.922
1620,72.7487,90.9264,b'7495-12702',915.401,2258.35,1654.05,394.743,2770.61
1621,54.785,90.7069,b'7495-12703',906.474,2037.58,1476.67,386.565,2198.81
1622,82.886,126.332,b'7495-12704',1412.37,3474.37,2534.16,427.759,4245.4
1623,12.0779,14.107,b'7495-12705',213.776,607.224,420.46,120.385,687.421
1624,0.959063,1.8704,b'7495-1901',191.125,552.756,382.917,41.1455,701.162
1625,0.302707,1.48213,b'7495-1902',103.22,289.355,204.761,28.1747,368.22
1626,0.0,0.0,b'7495-3701',413.98,1092.69,755.281,140.479,1298.44
1627,8.8343,11.2012,b'7495-3702',171.307,435.836,299.777,76.0518,541.408
1628,5.8234,6.3209,b'7495-3703',117.571,298.089,211.537,36.4235,377.087
1629,3.49076,6.76884,b'7495-3704',513.798,1603.79,1097.4,103.596,2131.79
1630,9.4853,13.5347,b'7495-6101',93.0099,187.455,139.279,51.0848,189.876
1631,108.18,116.944,b'7495-6102',370.622,480.865,431.634,192.572,559.921
1632,2.23301,3.48016,b'7495-6103',62.2829,151.86,105.859,28.9458,129.872
1633,3.17543,4.90895,b'7495-6104',93.2034,208.43,157.758,21.0039,385.968
1634,18.9807,28.5864,b'7495-9101',114.949,168.559,155.069,52.0654,166.041
1635,4.05493,7.1644,b'7495-9102',406.759,1181.97,823.831,96.6336,1508.42
1636,17.6094,23.2659,b'7815-12701',232.524,550.547,385.057,50.6793,433.891
1637,8.36805,9.41491,b'7815-12702',88.1513,191.95,146.7,30.7847,222.834
1638,1.23495,2.37563,b'7815-12703',107.93,347.816,217.992,48.2826,385.688
1639,4.29248,10.9371,b'7815-12704',430.759,1498.2,967.413,124.156,1952.91
1640,31.4806,53.1668,b'7815-12705',914.01,2437.77,1689.51,308.068,3208.62
1641,-0.396709,1.73907,b'7815-1901',264.179,934.932,602.04,43.102,1203.61
1642,-1.76066,1.94797,b'7815-1902',238.264,692.45,431.929,67.6519,896.773
1643,-0.172905,3.04649,b'7815-3701',87.2701,302.524,200.735,28.3234,493.775
1644,27.6099,47.1474,b'7815-3702',497.607,1316.43,902.057,186.856,1696.02
1645,1.23743,2.21202,b'7815-3703',319.698,1242.94,785.619,59.001,1711.67
1646,2.14418,4.63287,b'7815-3704',171.197,564.711,371.214,47.1911,743.98
1647,15.6026,23.309,b'7815-6101',202.989,352.946,287.541,70.3725,455.976
1648,0.912828,3.95866,b'7815-6102',149.011,716.708,396.085,72.8789,893.942
1649,7.58776,9.97587,b'7815-6103',137.534,394.882,272.609,64.4356,457.018
1650,18.9024,28.1412,b'7815-6104',271.438,799.192,466.391,124.228,843.581
1651,18.8536,24.7816,b'7815-9101',395.619,931.479,658.759,160.507,721.143
1652,0.0,0.0,b'7815-9102',110.589,211.714,172.242,51.6642,274.529
1653,15.8778,23.0407,b'7957-12701',343.688,409.454,374.698,241.742,-17.939
1654,92.9716,144.814,b'7957-12702',1080.8,2374.06,1764.37,320.167,2882.29
1655,4.76274,7.41066,b'7957-12703',152.007,601.145,382.198,50.8636,706.293
1656,105.295,160.589,b'7957-12704',1082.06,1965.29,1567.46,447.637,2270.56
1657,20.226,25.5967,b'7957-12705',298.589,838.904,566.933,102.685,1016.53
1658,0.79964,-5.91425e-06,b'7957-1901',252.872,766.886,524.53,51.2206,968.375
1659,-0.0241724,5.20781,b'7957-1902',604.958,1799.78,1225.29,126.929,2368.61
1660,3.54544,6.73732,b'7957-3701',915.889,3037.81,2020.88,176.833,4035.2
1661,-0.52057,4.46272,b'7957-3702',143.611,376.038,301.956,66.2528,559.452
1662,9.07967,14.6212,b'7957-3703',105.542,209.18,154.641,41.5448,234.78
1663,6.63025,7.88535,b'7957-3704',91.4682,195.443,148.09,30.5076,224.246
1664,4.40678,10.277,b'7957-6101',1273.74,4047.63,2699.43,251.852,5225.21
1665,2.63562,5.78013,b'7957-6102',419.455,1405.34,911.448,99.6993,1832.66
1666,3.01846,12.2126,b'7957-6103',1596.6,5194.57,3472.21,333.078,6968.73
1667,65.6126,101.242,b'7957-6104',685.698,1231.68,978.239,285.089,1415.12
1668,13.5888,23.6239,b'7957-9101',137.978,263.806,200.179,61.8782,260.556
1669,68.1561,122.067,b'7957-9102',861.711,1719.69,1338.0,331.194,2048.65
1670,26.7029,32.8014,b'7958-12701',133.786,236.661,174.309,67.9632,246.928
1671,0.0,0.0,b'7958-12702',138.102,318.873,228.81,49.0249,225.506
1672,0.0,0.0,b'7958-12703',121.337,339.137,224.858,49.9674,367.04
1673,107.526,143.355,b'7958-12704',961.012,1668.22,1344.99,401.331,1702.98
1674,0.0,0.0,b'7958-12705',634.658,1185.42,912.981,310.341,778.847
1675,0.538175,1.94992,b'7958-1901',117.313,304.907,221.774,31.728,366.393
1676,0.0,0.0,b'7958-1902',83.4751,252.192,168.751,18.2902,324.474
1677,0.0,0.0,b'7958-3701',184.065,653.447,431.477,67.539,926.609
1678,66.8205,99.3954,b'7958-3702',790.072,1878.17,1352.93,249.223,2259.92
1679,5.25039,9.23404,b'7958-3703',610.627,1921.85,1296.76,134.654,2570.57
1680,0.0,0.0,b'7958-3704',85.2312,247.431,168.603,15.8881,300.766
1681,45.8218,75.6159,b'7958-6101',966.617,2408.71,1737.63,278.972,3002.45
1682,0.444246,1.34006,b'7958-6102',246.678,763.376,533.115,54.393,1002.38
1683,6.95151,13.6086,b'7958-6103',730.078,2224.71,1482.58,156.931,2814.15
1684,1.31386,2.43336,b'7958-6104',435.294,1506.29,991.357,135.505,1861.7
1685,0.0,0.0,b'7958-9101',143.06,428.118,273.751,18.5385,504.95
1686,-0.964983,2.66453,b'7958-9102',377.459,1372.67,888.207,72.3015,1700.33
1687,111.923,172.789,b'7960-12701',1668.26,3985.99,2859.7,550.753,4796.92
1688,5.93919,10.0103,b'7960-12702',493.566,1709.64,1046.12,179.243,2180.09
1689,0.0,0.0,b'7960-12703',704.664,1618.52,1146.57,240.587,1828.18
1690,0.0,0.0,b'7960-12704',1257.03,2583.38,1920.53,498.524,3136.01
1691,44.7113,75.3824,b'7960-12705',796.758,1915.86,1385.89,310.455,2311.66
1692,0.0,0.0,b'7960-1901',241.992,975.078,632.637,45.6702,1334.39
1693,1.77415,4.9836,b'7960-1902',690.461,2318.04,1541.33,132.864,3101.88
1694,0.610591,2.52809,b'7960-3701',175.56,618.602,414.52,33.8477,822.891
1695,9.4043,15.8406,b'7960-3702',421.271,1228.27,857.881,103.912,1563.31
1696,0.0,0.0,b'7960-3703',90.6566,252.395,171.525,20.5619,312.772
1697,0.0,0.0,b'7960-3704',338.607,521.891,436.325,161.905,537.728
1698,0.0,0.0,b'7960-6101',221.878,417.788,329.146,104.495,635.015
1699,0.0,0.0,b'7960-6102',289.492,620.438,476.565,110.169,763.845
1700,0.0,0.0,b'7960-6103',120.447,321.857,224.544,35.111,371.455
1701,0.0,0.0,b'7960-6104',893.444,2804.55,1862.32,206.759,3522.68
1702,0.0,0.0,b'7960-9101',233.245,525.577,384.599,75.9688,584.119
1703,0.0,0.0,b'7960-9102',314.525,1172.29,798.463,73.0048,1597.32
1704,37.8795,56.9338,b'7961-12701',1216.7,3542.2,2326.02,303.571,4099.6
1705,43.672,72.9499,b'7961-12702',1478.15,4426.25,2907.09,460.844,5655.31
1706,22.7215,53.0642,b'7961-12703',693.277,1574.47,1150.9,259.174,1838.57
1707,11.9683,17.4769,b'7961-12704',267.138,615.717,457.993,166.34,800.646
1708,82.0296,137.376,b'7961-12705',1224.84,3094.08,2128.8,398.888,3623.24
1709,1.71702,5.54808,b'7961-1901',244.867,597.976,445.38,59.1064,759.153
1710,0.944102,4.218,b'7961-1902',261.647,795.703,535.874,55.8134,1001.55
1711,0.0457155,1.69882,b'7961-3701',218.783,765.623,512.687,41.7867,1037.43
1712,0.0,0.0,b'7961-3702',220.7,522.019,382.438,82.9381,606.859
1713,3.86214,0.398903,b'7961-3703',714.577,2452.14,1613.39,131.996,3051.76
1714,0.0304547,1.46288,b'7961-3704',174.121,533.567,370.508,40.5959,688.156
1715,-4.315e-05,2.07416e-05,b'7961-6101',221.577,654.27,451.495,47.9907,841.444
1716,0.607972,0.835652,b'7961-6102',184.253,704.241,414.546,35.9944,1022.96
1717,0.0,0.0,b'7961-6103',1242.81,4369.78,2855.21,271.838,5887.51
1718,3.50968,3.11262,b'7961-6104',164.976,525.104,360.86,38.6652,754.746
1719,-0.423454,3.11853,b'7961-9101',275.724,982.08,653.254,79.0851,911.465
1720,5.3922,8.74171,b'7961-9102',187.776,578.56,347.557,51.3459,652.697
1721,26.4131,52.3581,b'7962-12701',518.845,1067.82,819.678,274.787,1049.43
1722,37.3175,48.9907,b'7962-12702',322.221,617.976,468.46,133.544,897.786
1723,29.7848,52.2371,b'7962-12703',915.788,2810.99,1822.41,271.099,3616.12
1724,42.1161,69.8064,b'7962-12704',733.312,1725.44,1280.59,242.021,2110.57
1725,7.62469,14.2887,b'7962-12705',211.123,528.48,368.102,69.4617,644.489
1726,-0.506248,1.98481,b'7962-1901',258.707,811.249,550.793,54.6781,1089.11
1727,0.0,0.0,b'7962-1902',104.802,328.937,223.283,19.8626,433.698
1728,0.0413888,1.59304,b'7962-3701',176.39,587.078,392.676,32.048,782.712
1729,1.23798,0.20881,b'7962-3702',150.669,600.697,384.818,31.0767,852.777
1730,0.0773666,1.20079,b'7962-3703',235.366,767.012,528.31,43.7624,1040.87
1731,0.0,0.0,b'7962-3704',132.741,410.52,282.562,23.1331,529.494
1732,2.95255,1.25513,b'7962-6101',196.269,743.457,482.571,37.988,944.854
1733,4.52856,21.2715,b'7962-6102',1855.33,6237.6,3890.76,1786.21,4408.17
1734,-4.05532,2.92857,b'7962-6103',426.962,1524.76,996.193,149.371,1646.13
1735,21.369,38.1708,b'7962-6104',275.304,588.237,424.187,104.636,626.628
1736,5.28131,12.2859,b'7962-9101',218.806,730.027,465.026,80.1472,920.472
1737,0.917269,0.0118508,b'7962-9102',245.931,777.521,515.261,57.6459,987.994
1738,9.11742,17.1517,b'7963-12701',197.069,683.995,346.032,101.961,326.05
1739,7.16516,14.6741,b'7963-12702',251.576,664.223,465.741,86.7683,782.875
1740,12.0386,19.6221,b'7963-12703',289.353,761.222,531.263,98.0797,956.355
1741,3.2265,6.08999,b'7963-12704',183.38,565.074,381.11,47.1616,733.072
1742,5.19069,9.22917,b'7963-12705',211.055,694.169,452.805,54.2477,888.45
1743,0.479901,1.25661,b'7963-1901',300.518,1074.45,698.035,66.3969,1363.5
1744,20.143,29.7662,b'7963-1902',421.782,1064.84,773.876,140.183,1431.11
1745,0.576699,1.59975,b'7963-3701',134.499,511.477,325.034,25.6854,720.792
1746,29.5548,40.6619,b'7963-3702',216.641,610.761,379.98,108.825,705.857
1747,0.0,0.807328,b'7963-3703',154.621,569.639,372.017,23.2342,746.434
1748,0.0175835,0.276301,b'7963-3704',169.9,565.05,370.696,31.8112,770.232
1749,2.43288,8.33127,b'7963-6101',1018.22,3772.11,2348.91,261.567,5048.07
1750,4.47106e-05,8.12151,b'7963-6102',655.236,2017.82,1356.49,139.049,2599.94
1751,0.481048,1.6108,b'7963-6103',155.168,550.742,357.162,38.5588,761.552
1752,1.85804,4.8005,b'7963-6104',204.027,555.246,391.356,45.7194,688.373
1753,23.6073,31.5998,b'7963-9101',414.405,1396.82,753.889,150.149,1071.18
1754,32.7183,64.6459,b'7963-9102',996.745,2668.51,1856.0,311.188,3314.25
1755,38.5343,52.7434,b'7964-12701',318.188,666.07,498.565,151.264,622.285
1756,3.22956,5.32536,b'7964-12702',235.27,831.169,547.255,54.6463,1130.48
1757,0.294631,1.59671,b'7964-12703',159.328,549.877,351.528,44.5869,759.177
1758,10.5854,14.2217,b'7964-12704',521.962,1921.94,1101.31,117.453,2234.89
1759,1.85804,4.8005,b'7964-12705',204.027,555.246,391.356,45.7194,688.373
1760,0.0,0.0,b'7964-1901',238.87,749.82,518.272,52.5635,983.174
1761,1.01727,2.35619,b'7964-1902',139.706,431.455,301.558,44.1181,517.613
1762,2.39636,4.96691,b'7964-3701',198.55,653.817,448.084,51.4942,860.597
1763,0.0,1.48841,b'7964-3702',178.615,667.179,421.819,41.0952,879.53
1764,0.0982606,1.11606,b'7964-3703',179.213,626.759,410.907,39.6384,827.779
1765,0.0,0.0,b'7964-3704',287.306,547.377,431.206,114.559,625.746
1766,27.6254,52.8171,b'7964-6101',571.266,1682.73,1083.23,173.374,1827.18
1767,10.3872,17.3677,b'7964-6102',105.593,237.945,155.22,43.499,233.558
1768,0.0750284,2.05798,b'7964-6103',243.588,727.469,506.372,49.7727,888.421
1769,0.0,0.0,b'7964-6104',174.297,634.542,408.238,42.026,849.885
1770,17.3594,27.349,b'7964-9101',275.496,746.564,491.076,87.7388,894.35
1771,13.7165,27.5316,b'7964-9102',691.997,2293.85,1501.48,179.415,3158.32
1772,7.93975,13.8299,b'7968-12701',242.148,789.152,503.252,66.191,990.083
1773,63.3046,95.898,b'7968-12702',768.394,1867.71,1223.74,369.743,1909.6
1774,8.53999,14.1057,b'7968-12703',291.982,1024.63,659.803,59.6807,1235.29
1775,3.41328,15.4091,b'7968-12704',917.518,3159.55,2034.48,203.732,4175.53
1776,2.74588,3.17686,b'7968-12705',500.994,1944.36,998.004,350.527,2027.45
1777,3.096,5.96422,b'7968-1901',514.22,1773.33,1126.67,119.482,2160.43
1778,10.1457,19.1376,b'7968-1902',263.875,700.061,473.131,87.9754,784.817
1779,49.4215,84.9472,b'7968-3701',937.159,2335.49,1656.72,300.309,2761.58
1780,10.2956,14.2188,b'7968-3702',102.027,233.556,137.007,74.9356,203.342
1781,0.505747,0.80023,b'7968-3703',133.725,575.825,367.281,25.412,831.78
1782,10.8925,20.0013,b'7968-3704',350.551,1028.46,704.444,102.858,1435.53
1783,13.2235,18.4128,b'7968-6101',272.083,746.297,527.147,83.1761,881.158
1784,12.3302,18.0086,b'7968-6102',258.774,936.978,563.217,364.272,923.092
1785,0.423888,1.34025,b'7968-6103',143.112,589.125,387.489,46.9674,808.669
1786,0.30264,1.6002,b'7968-6104',225.468,865.929,520.71,55.5641,1030.82
1787,9.5885,19.8484,b'7968-9101',617.671,2839.73,1500.81,135.27,4621.12
1788,0.505438,8.95808,b'7968-9102',712.8,2069.41,1407.6,167.221,2672.51
1789,2.47027,0.350391,b'7972-12701',120.791,0.76631,280.372,17.6816,562.102
1790,2.12994,4.80802,b'7972-12702',187.549,580.919,333.87,53.8461,573.604
1791,5.49981,11.7653,b'7972-12703',165.886,501.758,338.147,36.1135,448.872
1792,18.8536,24.7816,b'7972-12704',395.619,931.479,658.759,160.507,721.143
1793,8.36805,9.41491,b'7972-12705',88.1513,191.95,146.7,30.7847,222.834
1794,-0.245117,0.321557,b'7972-1901',134.949,462.765,308.712,25.0372,623.257
1795,0.780465,7.6397,b'7972-1902',1047.32,416.308,510.662,283.069,2464.24
1796,15.6026,23.309,b'7972-3701',202.989,352.946,287.541,70.3725,455.976
1797,0.355553,0.0,b'7972-3702',177.165,639.144,321.458,32.9971,878.04
1798,0.0,0.0,b'7972-3703',217.93,713.089,481.886,46.1705,994.517
1799,2.10554,2.97041,b'7972-3704',94.7895,299.469,203.967,26.8102,373.055
1800,4.78502,-0.162252,b'7972-6101',906.1,3224.53,2047.61,129.481,4415.94
1801,8.94692,6.63199,b'7972-6102',206.015,694.188,522.354,356.123,911.825
1802,10.4218,11.7517,b'7972-6103',688.662,2421.35,1571.43,125.076,3153.82
1803,14.8623,20.366,b'7972-6104',195.621,395.271,313.64,60.7298,453.521
1804,1.38052,3.49816,b'7972-9101',157.424,590.96,376.142,30.6002,876.088
1805,-1.76066,1.94797,b'7972-9102',238.264,692.45,431.929,67.6519,896.773
1806,0.0,0.0,b'7975-12701',200.258,758.604,481.281,49.5244,1158.33
1807,0.0,0.0,b'7975-12702',113.88,768.691,274.025,116.752,299.513
1808,18.1275,34.7465,b'7975-12703',930.281,2389.53,1667.34,253.189,3742.74
1809,5.6268,6.26925,b'7975-12704',196.479,684.171,444.687,58.7331,927.924
1810,0.0,0.0,b'7975-12705',286.416,498.176,418.743,129.854,840.877
1811,109.7,148.56,b'7975-1901',695.822,1045.63,888.861,321.612,998.79
1812,14.3305,17.5036,b'7975-1902',455.817,1411.05,959.017,108.082,1858.27
1813,4.21169,7.46482,b'7975-3701',131.419,372.692,243.983,27.7164,426.472
1814,0.0,0.0,b'7975-3702',394.888,1513.54,981.544,74.6449,1977.84
1815,0.159145,0.348194,b'7975-3703',169.43,597.346,400.763,34.9599,807.4
1816,0.0,0.0,b'7975-3704',440.018,1632.52,1015.65,107.061,2082.73
1817,0.0,0.0,b'7975-6101',214.513,787.2,515.981,45.1425,1066.95
1818,10.606,18.421,b'7975-6102',563.234,1766.77,1191.91,132.638,2255.96
1819,-0.951967,0.431129,b'7975-6103',198.275,803.83,504.414,43.2571,1063.65
1820,0.0,0.0,b'7975-6104',246.857,792.565,504.687,70.6206,982.56
1821,31.5169,49.2782,b'7975-9101',394.411,941.256,642.461,131.239,1011.76
1822,13.0269,17.8356,b'7975-9102',431.619,1256.13,884.26,134.93,1605.34
1823,18.9123,28.2221,b'7977-12701',263.307,801.919,490.511,83.8597,970.417
1824,-1.52141,-0.817769,b'7977-12702',169.319,1061.61,440.755,66.2772,959.512
1825,18.8591,29.9272,b'7977-12703',300.533,820.511,557.892,93.7175,1042.02
1826,0.0,0.0,b'7977-12704',728.677,2395.43,1536.95,198.688,3102.94
1827,49.5391,61.2011,b'7977-12705',1542.18,4516.54,3047.94,423.292,5761.87
1828,-0.278089,0.822622,b'7977-1901',161.175,521.753,356.497,31.7145,703.998
1829,14.7635,32.9263,b'7977-1902',549.608,1487.87,1015.37,204.768,1979.02
1830,-0.136004,6.35926e-06,b'7977-3701',272.968,980.993,625.685,69.3038,1305.22
1831,1.43062,5.06506,b'7977-3702',760.104,2500.94,1657.39,144.57,3245.53
1832,38.4296,63.6297,b'7977-3703',590.722,1378.72,989.655,209.517,1532.94
1833,12.9428,21.1227,b'7977-3704',485.894,1383.89,978.684,119.826,1812.7
1834,-3.02031e-05,1.03776,b'7977-6101',182.747,677.651,445.097,50.2801,982.601
1835,0.966728,4.93228,b'7977-6102',461.125,1754.99,1140.41,52.3307,2475.09
1836,10.9367,12.6842,b'7977-6103',102.701,223.052,156.833,41.2394,239.431
1837,0.0154924,0.806311,b'7977-6104',208.546,754.569,502.764,45.5394,1015.81
1838,10.0762,7.38859,b'7977-9101',800.784,2738.31,1765.31,215.42,3372.33
1839,13.7017,25.153,b'7977-9102',323.04,886.163,587.683,103.719,1102.72
1840,34.698,55.645,b'7979-12701',1088.75,3124.3,2131.92,380.617,4054.6
1841,4.01657,7.58985,b'7979-12702',518.082,1748.58,1137.47,110.698,2196.79
1842,0.0,0.0,b'7979-12703',636.927,1983.32,1254.63,213.267,1959.93
1843,9.2463,14.001,b'7979-12704',357.484,1091.9,656.27,114.078,1209.45
1844,2.89323,4.77532,b'7979-12705',90.2645,220.892,163.735,35.965,233.641
1845,0.144882,0.998502,b'7979-1901',161.56,719.304,443.578,44.732,1022.68
1846,0.0,0.0,b'7979-1902',272.451,809.149,536.892,82.2491,1020.17
1847,-7.06987e-06,3.12638,b'7979-3701',298.848,917.067,615.542,70.1394,1152.66
1848,0.171425,1.78737,b'7979-3702',200.954,613.087,397.728,52.6464,676.866
1849,1.48195,2.31824,b'7979-3703',83.0738,243.237,165.864,21.4433,313.14
1850,0.0,0.0,b'7979-3704',336.298,1055.04,721.697,71.0498,1371.17
