,F,N,Plate-IFU,g,i,r,u,z
301,39.3576,66.5454,b'10503-12704',753.361,1712.04,1314.63,254.851,2126.98
302,2.25776,9.95288,b'10503-12705',735.455,2457.31,1568.97,190.703,3467.0
303,0.380714,2.78856,b'10503-1901',329.934,1004.34,695.716,74.9802,1309.3
304,0.262158,3.17223,b'10503-1902',418.482,1148.67,812.731,101.36,1416.06
305,0.305891,1.53793,b'10503-3701',200.832,613.185,417.546,37.3231,786.213
306,0.0509345,0.0457365,b'10503-3702',186.927,588.949,390.935,36.9292,734.654
307,6.32991,9.3902,b'10503-3703',123.82,298.602,212.479,32.39,359.879
308,2.20883,6.98975,b'10503-3704',683.126,2067.1,1433.06,143.609,2668.25
309,1.92004,8.56542,b'10503-6101',1006.49,3018.09,2063.29,207.869,3856.85
310,2.38252,4.99921,b'10503-6102',166.358,493.763,337.042,36.8117,636.833
311,0.514223,1.11474,b'10503-6103',108.725,309.361,221.245,24.8632,399.367
312,10.5131,17.1798,b'10503-6104',185.987,399.878,146.18,60.3795,469.286
313,5.50239,13.1465,b'10503-9101',790.78,3020.74,1876.44,169.964,3680.99
314,56.7657,91.1796,b'10503-9102',610.649,1189.29,911.618,216.189,1378.08
315,0.0,28.2376,b'10504-12701',358.451,844.013,632.845,113.289,1048.71
316,0.927965,3.81695,b'10504-12702',472.093,1410.68,979.837,97.6871,1872.04
317,49.5751,53.4724,b'10504-12703',287.472,454.408,375.575,127.493,539.191
318,76.9183,101.436,b'10504-12704',629.597,1228.72,956.803,241.235,1414.56
319,0.187248,2.11604,b'10504-12705',147.679,397.165,276.344,39.4003,397.389
320,0.812421,2.98058,b'10504-1901',229.464,646.311,450.134,51.6128,769.842
321,1.49288,5.76217,b'10504-1902',586.8,1719.53,1198.52,123.982,2169.03
322,0.082852,2.50511,b'10504-3701',101.585,275.607,187.195,34.1093,335.437
323,0.737897,5.14957,b'10504-3702',402.818,1151.43,806.503,93.5372,1498.03
324,10.3045,18.283,b'10504-3703',674.25,2118.59,1430.59,148.784,2800.35
325,1.71382,6.82153,b'10504-3704',637.968,1966.51,1344.27,139.898,2570.34
326,0.137201,1.2941,b'10504-6101',85.9602,224.314,167.037,22.2738,275.659
327,1.97883e-05,1.93113,b'10504-6102',212.655,605.998,429.444,48.1358,763.374
328,0.567032,3.77691,b'10504-6103',285.161,791.086,565.06,67.0547,995.258
329,29.1227,34.7781,b'10504-6104',326.424,1029.49,620.261,99.9749,1233.21
330,3.36732,10.1929,b'10504-9101',516.596,1734.42,1119.84,111.975,2238.14
331,27.3231,48.5453,b'10504-9102',702.395,1723.13,1242.63,188.934,2023.3
332,7.07939,13.2002,b'10505-12701',234.745,663.048,458.121,73.483,861.307
333,1.10877,4.03484,b'10505-12702',365.744,1019.48,723.923,85.1974,1288.75
334,23.2232,30.5869,b'10505-12703',213.029,418.862,317.928,78.3271,535.943
335,17.0669,29.6572,b'10505-12704',298.21,734.378,512.355,92.4242,883.039
336,0.0,9.08085,b'10505-12705',796.767,2430.94,1651.8,156.245,3109.29
337,1.39861,0.00221012,b'10505-1901',140.885,504.887,329.514,23.5659,667.713
338,0.0,0.0,b'10505-1902',230.984,626.783,460.132,56.489,774.515
339,0.9886,0.0565508,b'10505-3701',235.944,826.717,549.355,44.4904,1105.27
340,0.387085,2.02198,b'10505-3702',143.685,396.426,280.245,47.9993,474.436
341,1.04138,4.30875,b'10505-3703',157.487,409.865,300.182,36.912,506.806
342,0.0268651,1.03461,b'10505-3704',68.3167,176.085,126.773,16.3788,218.951
343,1.34144,5.91147,b'10505-6101',334.944,981.197,680.717,74.7802,1224.1
344,0.0,1.2562,b'10505-6103',148.598,455.21,311.958,32.2624,595.026
345,0.0,0.0,b'10505-6104',126.66,242.439,199.215,40.8218,273.498
346,35.8202,49.1518,b'10505-9101',246.002,441.02,353.416,101.507,462.09
