Plate-IFU,extinction,ha_6564,ha_6564c,l_ha,l_hac
11024-9101,0.16915284638352243,1.2828302383422854e-16,1.8843296348933777e-16,1.3453544021909027e+38,1.9761704189000945e+38
11024-9102,0.2364965957657031,1.9703055419921877e-14,3.372896527377084e-14,2.0736307707338863e+40,3.5497753402240206e+40
11025-12701,0.3187326975339788,4.1386884765625e-14,8.54113638678389e-14,7.010898427561758e+41,1.446860279598273e+42
11025-12702,999.0,0.0,999.0,999.0,999.0
11025-12703,0.07502972694129974,3.3569995117187504e-15,3.9812607699338794e-15,4.271549512223022e+39,5.0658787528797506e+39
11025-12705,999.0,0.0,999.0,999.0,999.0
11025-1901,999.0,0.0,999.0,999.0,999.0
11025-1902,0.42925495977109274,1.479550048828125e-14,3.925456390221707e-14,3.1243955982794843e+40,8.289465217186126e+40
11025-3701,0.09950314661880168,2.8909521484375002e-15,3.624686159923653e-15,3.599968822686699e+39,4.5136538059966534e+39
11025-3702,999.0,0.0,999.0,999.0,999.0
11025-3703,999.0,0.0,999.0,999.0,999.0
11025-3704,999.0,0.0,999.0,999.0,999.0
11025-6102,999.0,0.0,999.0,999.0,999.0
11025-6103,999.0,999.0,999.0,999.0,999.0
11025-6104,999.0,0.0,999.0,999.0,999.0
11025-9101,0.1039842958966114,3.7273403320312504e-14,4.7211994251485154e-14,8.016170192981878e+40,1.0153604107938862e+41
11025-9102,0.2348815740671398,1.5648273437500002e-13,2.6689566277293363e-13,3.1267684105074726e+41,5.3329904451950116e+41
11742-12701,0.41196937188456567,2.73772216796875e-14,6.983699380130014e-14,3.103690152230199e+41,7.917252979811164e+41
11742-12702,0.14757458931829515,1.5997951660156252e-14,2.237432873946258e-14,6.48289890911788e+40,9.066817706329417e+40
11742-12703,999.0,0.0,999.0,999.0,999.0
11742-12704,0.37638028869452794,3.958923828125e-14,9.314075773654386e-14,7.146771558214232e+40,1.681405723376389e+41
11742-12705,999.0,0.0,999.0,999.0,999.0
11742-1901,999.0,0.0,999.0,999.0,999.0
11742-1902,999.0,0.0,999.0,999.0,999.0
11742-3701,999.0,0.0,999.0,999.0,999.0
11742-3702,0.25364301402501077,2.0822587890625e-14,3.7062190783908473e-14,3.3639133032303253e+40,5.9874400473047025e+40
11742-3703,999.0,0.0,999.0,999.0,999.0
11742-3704,0.3043420530385571,2.256100311279297e-15,4.506142071377519e-15,1.4657542621725838e+40,2.927572375242287e+40
11742-6101,999.0,0.0,999.0,999.0,999.0
11742-6102,0.18684028921705734,6.773761749267579e-16,1.0358065448656024e-15,1.4152542875117595e+39,2.164129338933852e+39
11742-6103,999.0,0.0,999.0,999.0,999.0
11742-6104,0.3889019066456873,1.4118941307067873e-16,3.417638277203934e-16,1.6054974442156666e+39,3.8862754649725604e+39
11742-9101,999.0,0.0,999.0,999.0,999.0
11742-9102,0.2502685423391492,3.6400878906250004e-16,6.429496657756888e-16,7.6588221081279e+38,1.3527797302198663e+39
11743-12701,0.49131626165384185,2.1780615234375e-14,6.654226148153905e-14,4.3453021230341526e+40,1.3275393140910168e+41
11743-12702,0.15186446763652858,2.67225830078125e-14,3.7739751590316744e-14,1.4555536272727593e+41,2.05564829955243e+41
11743-12703,0.20704035241254845,4.7246826171875005e-14,7.564197780524884e-14,2.5520696676669426e+41,4.085853226560777e+41
11743-12704,0.1487833694456269,1.1293967247009278e-16,1.5838916389066405e-16,6.502769045400236e+38,9.119631122958834e+38
11743-12705,0.36333672814233575,1.1411876953125002e-13,2.606412191101555e-13,2.3035515897164857e+41,5.26118969818045e+41
11743-1901,0.37977455379140823,2.53395556640625e-14,6.007758058408746e-14,1.386956293074344e+41,3.2883362111181647e+41
11743-1902,999.0,0.0,999.0,999.0,999.0
11743-3701,0.1820546635773632,5.154201171875e-14,7.796249500417372e-14,1.0567787861563592e+41,1.5984845777034415e+41
11743-3702,999.0,0.0,999.0,999.0,999.0
11743-3703,999.0,0.0,999.0,999.0,999.0
11743-3704,999.0,0.0,999.0,999.0,999.0
11743-6101,0.31858332085371743,3.909618835449219e-15,8.065659292085002e-15,7.640591856432515e+39,1.5762766985130654e+40
11743-6102,999.0,0.0,999.0,999.0,999.0
11743-6103,999.0,0.0,999.0,999.0,999.0
11743-6104,0.4131672815516252,9.290447998046876e-15,2.376377310549818e-14,1.815693853309856e+40,4.644311745587944e+40
11743-9101,0.34531345899563537,7.964881896972656e-16,1.7461147750023581e-15,4.660774217400669e+39,1.0217661516169622e+40
11743-9102,0.5214446445880373,6.49351953125e-14,2.1244685400940188e-13,1.2873478988134185e+41,4.2117839147528866e+41
11744-12701,0.37686555242445896,5.697222900390625e-15,1.3418528244218588e-14,1.0620117227350318e+40,2.5013299543246206e+40
11744-12702,999.0,0.0,999.0,999.0,999.0
11744-12703,999.0,0.0,999.0,999.0,999.0
11744-12704,0.12961247185446312,7.341416168212892e-16,9.856739437557924e-16,2.6873146425645617e+39,3.608045043568339e+39
11744-12705,0.3147345765851075,9.3221435546875e-16,1.906433937352503e-15,1.669255183994519e+40,3.4137263754842765e+40
11744-1901,0.16120457187167533,4.52701220703125e-14,6.53059601406901e-14,2.670482197025214e+40,3.8523952651260714e+40
11744-1902,0.18266024818588206,3.212411865234375e-14,4.8657906366124e-14,1.8105796335286197e+40,2.742457006527681e+40
11744-3701,999.0,0.0,999.0,999.0,999.0
11744-3704,999.0,0.0,999.0,999.0,999.0
11744-6101,999.0,0.0,999.0,999.0,999.0
11744-6103,0.2735357445184364,1.731743896484375e-14,3.2249141114034146e-14,3.4194679963638156e+40,6.367853016461044e+40
11744-6104,999.0,0.0,999.0,999.0,999.0
11744-9101,0.2072961315687372,2.487229919433594e-16,3.984360944209847e-16,1.758521511249351e+38,2.817023216965149e+38
11744-9102,0.3074690781842798,1.9704304199218752e-14,3.963643422948577e-14,3.7299571040738055e+40,7.503040855423169e+40
11745-12702,0.8108039768053109,1.4621556396484377e-14,9.234625538372185e-14,3.362637375661223e+40,2.1237613933515516e+41
11745-12703,0.17421978614214048,1.171287078857422e-15,1.7404162326017395e-15,5.20542198433075e+39,7.734739913556236e+39
11745-12704,0.28484809192394017,7.177049560546875e-15,1.3713489602438994e-14,3.340075329007485e+40,6.382022014658762e+40
11745-12705,0.1787032374496608,9.021400451660156e-17,1.3542217890379666e-16,2.644305974246018e+38,3.969424466185003e+38
11745-1901,999.0,0.0,999.0,999.0,999.0
11745-1902,0.37775460944169204,4.850749511718751e-15,1.144796252466937e-14,3.518933807145644e+40,8.304824286158928e+40
11745-3701,0.17629961160337998,2.248358984375e-13,3.356669872888241e-13,3.683185451828106e+41,5.4987827692686745e+41
11745-3702,999.0,0.0,999.0,999.0,999.0
11745-3703,0.18721568570896607,4.461507568359375e-15,6.828117075809467e-15,1.563805333829e+40,2.3933268608319925e+40
11745-3704,999.0,0.0,999.0,999.0,999.0
11745-6102,999.0,0.0,999.0,999.0,999.0
11745-6103,0.4774502061184966,1.7845010375976566e-15,5.282696352253557e-15,5.959479216054108e+39,1.7641972995634679e+40
11745-6104,0.36018740270726585,3.8383164062500005e-14,8.70397783255321e-14,1.3666564647872112e+41,3.099105523154373e+41
11745-9101,0.3164896007820291,6.401798828125e-14,1.3144393637805422e-13,9.017331426557642e+40,1.851469516856752e+41
11745-9102,999.0,0.0,999.0,999.0,999.0
11746-12701,0.201480083437212,8.997344207763672e-16,1.4223794652152836e-15,6.231680021252631e+39,9.851588970413774e+39
11746-12702,0.18416336051018686,2.6426520996093752e-14,4.016484194671411e-14,3.9956775957439497e+40,6.072905288093148e+40
11746-12703,0.2984516828937174,2.507477722167969e-15,4.941611335434056e-15,1.3922302654905562e+40,2.743737581658017e+40
11746-12704,0.3337805818683604,4.1009814453125005e-15,8.757819594695292e-15,5.561635514823786e+40,1.1877108233676825e+41
11746-12705,0.20517511548799483,2.0733796386718752e-14,3.305428012627229e-14,3.149015546683205e+40,5.0202307411839e+40
11746-1901,999.0,0.0,999.0,999.0,999.0
11746-1902,999.0,0.0,999.0,999.0,999.0
11746-3701,0.3942879062382517,2.1899121093750002e-15,5.366210517347859e-15,1.3523247636038503e+40,3.3137674056663597e+40
11746-3702,999.0,0.0,999.0,999.0,999.0
11746-3703,0.3550383238909458,1.4402583007812502e-14,3.228005159909622e-14,7.959832840938487e+40,1.7840120392730876e+41
11746-3704,0.37751923099191,1.2916593017578126e-14,3.0467369574061025e-14,2.711550283065694e+40,6.395943921155028e+40
11746-6101,999.0,0.0,999.0,999.0,999.0
11746-6102,999.0,0.0,999.0,999.0,999.0
11746-6103,999.0,0.0,999.0,999.0,999.0
11746-6104,999.0,0.0,999.0,999.0,999.0
11746-9101,999.0,0.0,999.0,999.0,999.0
11750-12701,0.18578356776122334,1.8955892333984377e-14,2.891676938267428e-14,2.56469071693484e+40,3.9123755660149366e+40
11750-12702,0.11941246977634482,7.750714874267578e-16,1.0167770871963815e-15,2.5442601740554655e+39,3.337686253218461e+39
11750-12703,0.05404659486239717,1.4167047119140626e-15,1.6018953355903582e-15,1.0378812013236682e+39,1.17355228744249e+39
11750-12704,0.09483136419641632,6.567493896484376e-15,8.147365516748099e-15,6.286388548311331e+39,7.798637667681573e+39
11750-12705,0.17556351060513004,1.58125244140625e-14,2.3567716575883344e-14,2.0583028437103634e+40,3.06778960636796e+40
11750-1902,999.0,0.0,999.0,999.0,999.0
11750-3701,0.15179219928746399,8.542642211914063e-16,1.2062615270564067e-15,8.316338267902007e+38,1.174306338683639e+39
11750-3702,0.19323175062622003,3.90106103515625e-14,6.05258823680123e-14,3.1459081339741857e+40,4.880950693709619e+40
11750-3703,999.0,0.0,999.0,999.0,999.0
11750-3704,999.0,0.0,999.0,999.0,999.0
11750-6102,0.3288403292919748,1.3760295410156251e-14,2.905754577573187e-14,1.1333971010036382e+40,2.393388889034109e+40
11750-6103,0.23429507601703067,1.533920703125e-13,2.612756928930185e-13,2.011793346661671e+41,3.426726684995779e+41
11750-6104,999.0,0.0,999.0,999.0,999.0
11750-9101,0.3459029815738942,9.425950317382813e-15,2.0691909474922703e-14,7.589400570372807e+40,1.6660303129486894e+41
11750-9102,0.135525817379535,1.5709313964843752e-14,2.137707625692501e-14,2.1455326428297933e+40,2.9196192157173256e+40
11751-12701,0.10283119223002328,1.6695571899414063e-16,2.1091926690542712e-16,3.0531609413334664e+38,3.8571333247526476e+38
11751-12702,0.10404964645223093,1.2813764648437501e-13,1.6232841717810611e-13,1.3010840756946686e+41,1.6482503340570459e+41
11751-12703,999.0,999.0,999.0,999.0,999.0
11751-12705,0.16587474148475875,8.311121215820313e-15,1.2117447903467599e-14,3.7376924537871415e+40,5.449480570893031e+40
11751-1901,0.38626266777612356,7.3520732421875e-14,1.7690020268999357e-13,3.00497374893209e+41,7.23034779106788e+41
11751-1902,999.0,0.0,999.0,999.0,999.0
11751-3701,0.2860720900010276,7.92699609375e-14,1.5188644295339378e-13,8.018921853428594e+40,1.5364780078531938e+41
11751-3702,0.2004120938351935,7.5265751953125e-14,1.1869822480636883e-13,6.980191119272204e+40,1.1008144782540646e+41
11751-3703,999.0,0.0,999.0,999.0,999.0
11751-3704,999.0,0.0,999.0,999.0,999.0
11751-6101,999.0,0.0,999.0,999.0,999.0
11751-6102,0.3317908291751358,1.4100134277343751e-14,2.997554963236607e-14,6.150942904929676e+40,1.3076321877929193e+41
11751-6103,0.1903507441830147,7.30698974609375e-15,1.12629654674568e-14,8.89118452610086e+39,1.370483711651501e+40
11751-6104,999.0,0.0,999.0,999.0,999.0
11751-9101,0.37810797133251967,1.5422241210937502e-14,3.642635205847965e-14,5.354303177668688e+40,1.2646523284778774e+41
11751-9102,0.254438968053941,1.185898193359375e-14,2.1146064701695172e-14,5.035878227168629e+40,8.979607812699934e+40
11755-12701,0.3877525915152829,2.4521123046875e-14,5.920109163839681e-14,1.378417015401359e+41,3.3278978246104825e+41
11755-12702,0.35156071812356127,7.0410351562500004e-15,1.5656592699464374e-14,2.39969817709628e+40,5.33601894134749e+40
11755-12703,0.2374056553617936,8.358472656250001e-14,1.4338172104747459e-13,1.1493023712298471e+41,1.9715199028336718e+41
11755-12704,0.5881554401459086,1.9007802734375003e-14,7.237006566240579e-14,2.0168700988085805e+41,7.679005486486556e+41
11755-12705,0.29644756052043264,2.4716215820312503e-14,4.848808256723384e-14,2.3149889910883373e+40,4.541527641536406e+40
11755-1901,999.0,0.0,999.0,999.0,999.0
11755-1902,999.0,0.0,999.0,999.0,999.0
11755-3701,999.0,0.0,999.0,999.0,999.0
11755-3702,999.0,0.0,999.0,999.0,999.0
11755-3703,0.1616982893071764,1.3345922851562502e-14,1.9274235506842063e-14,4.758964913728683e+40,6.872916285835266e+40
11755-6101,0.3582980427407485,6.940749023437501e-14,1.5671774299674792e-13,3.914385342966292e+41,8.838435651508504e+41
11755-6102,999.0,0.0,999.0,999.0,999.0
11755-6103,999.0,0.0,999.0,999.0,999.0
11755-6104,0.40919250759740944,1.8593687438964845e-15,4.71324884384349e-15,1.2709101711148248e+40,3.221585774365025e+40
11755-9101,0.2146367363409518,1.0256879882812501e-14,1.670723786029674e-14,3.7903406698428966e+40,6.174014307093291e+40
11755-9102,0.3097639823070987,8.357147216796875e-15,1.689884630088014e-14,2.9639430345038264e+40,5.993339172484012e+40
11757-12701,0.12089018311929968,1.5645660400390626e-15,2.059380936181397e-15,5.725648108780565e+39,7.536460757010533e+39
11757-12702,0.41028943216524444,6.591290283203126e-16,1.674974370149369e-15,3.069574193961019e+39,7.800381839135226e+39
11757-12703,0.29687412413512715,1.635919189453125e-14,3.212447080055065e-14,1.7735642655824564e+41,3.4827400907039865e+41
11757-12704,999.0,999.0,999.0,999.0,999.0
11757-12705,0.23132977673363572,7.527115478515625e-15,1.2734952648025429e-14,3.2609695179235444e+40,5.517158932388292e+40
11757-1901,999.0,0.0,999.0,999.0,999.0
11757-1902,999.0,0.0,999.0,999.0,999.0
11757-3701,0.34558085671190786,8.439331665039062e-15,1.8512517271215115e-14,3.678112304482363e+40,8.068306859448853e+40
11757-3702,0.2632693307118146,3.6373007297515874e-17,6.617267528353153e-17,4.052049245793307e+38,7.371811101059874e+38
11757-3703,999.0,0.0,999.0,999.0,999.0
11757-3704,999.0,0.0,999.0,999.0,999.0
11757-6101,999.0,0.0,999.0,999.0,999.0
11757-6102,999.0,0.0,999.0,999.0,999.0
11757-6103,999.0,0.0,999.0,999.0,999.0
11757-6104,0.4118934917586647,6.295998046875e-14,1.605779242826309e-13,7.665714597383744e+41,1.95512217288873e+42
11757-9101,0.1896329612453739,1.085885238647461e-16,1.6710505541984555e-16,5.097778884121196e+38,7.844886297655564e+38
11757-9102,999.0,0.0,999.0,999.0,999.0
11758-12701,999.0,0.0,999.0,999.0,999.0
11758-12702,0.13252804952637737,1.44469970703125e-14,1.9525819720675778e-14,2.910974245639167e+40,3.9343233791249787e+40
11758-12703,999.0,0.0,999.0,999.0,999.0
11758-12704,0.5351531681995803,5.4658813476562507e-14,1.8448599697174057e-13,4.2875537712891405e+41,1.44714746214789e+42
11758-12705,999.0,0.0,999.0,999.0,999.0
11758-1901,0.20021107100440097,4.0277744140625004e-14,6.349119600039357e-14,6.198443483001901e+40,9.770820051456067e+40
11758-1902,999.0,0.0,999.0,999.0,999.0
11758-3701,0.2969945490117292,1.1508179931640626e-14,2.260474760745589e-14,1.7612117925502796e+40,3.4594304477648536e+40
11758-3702,0.23832586311454917,1.7686420898437502e-14,3.0402916597860685e-14,3.9213450473337313e+40,6.740783062335351e+40
11758-3703,999.0,0.0,999.0,999.0,999.0
11758-3704,0.27590751790895396,1.7671420898437502e-14,3.308623672633079e-14,9.905748176033297e+39,1.8546552141295896e+40
11758-6101,0.33546736216014966,1.611286282539368e-17,3.4541889436632934e-17,3.5913989762662174e+37,7.699048127283578e+37
11758-6102,0.37524407411618116,2.346201629638672e-15,5.505620623158968e-15,5.088782301289498e+39,1.1941388340549645e+40
11758-6103,0.13809216732412333,3.633866455078125e-14,4.973859925940464e-14,5.54688036512653e+40,7.592300460996358e+40
11758-9101,0.08424276679107506,1.283374609375e-13,1.5542393573450482e-13,2.8508426752203102e+41,3.4525319848614466e+41
11758-9102,999.0,0.0,999.0,999.0,999.0
11760-12701,0.27319771515428987,6.903599243164063e-15,1.28462496251176e-14,1.600405011664754e+40,2.978041099574599e+40
11760-12702,0.18901288087695078,3.596628723144532e-15,5.526995669346487e-15,1.3343677394935646e+40,2.0505437967610384e+40
11760-12703,0.31392107192311364,5.8408408203125e-14,1.1922799833215624e-13,3.399067120966828e+41,6.938452553271901e+41
11760-12704,0.43915421957869516,6.069854125976563e-15,1.647067127610266e-14,3.3613893692182793e+40,9.121197673341603e+40
11760-12705,0.10965121157174124,5.405296630859375e-15,6.935331236678861e-15,1.870936066245283e+40,2.4005271547876236e+40
11760-1901,0.3522382263771794,6.2094560546875e-14,1.3828756672107315e-13,5.993373303709143e+40,1.3347530014248369e+41
11760-1902,1.6594909017889474,8.365333862304688e-15,3.63691119471158e-13,4.977479199815496e+40,2.1640080505126007e+42
11760-3701,0.2735629677182468,1.2678256835937501e-14,2.3611354796519068e-14,1.414950938697415e+40,2.635134235374711e+40
11760-3702,0.5231124048470249,5.6862392578125e-14,1.867418665659176e-13,3.4693473882170547e+40,1.1393688827833123e+41
11760-3703,999.0,0.0,999.0,999.0,999.0
11760-3704,999.0,0.0,999.0,999.0,999.0
11760-6101,0.27211299979028364,7.782227050781251e-14,1.4445542316468507e-13,2.8669975337686975e+41,5.3217843587728434e+41
11760-6102,0.4736193216689204,1.681000732421875e-14,4.933156542358566e-14,6.060788803732761e+40,1.7786321779831447e+41
11760-6103,0.17260345313887604,4.187156677246094e-15,6.198881592636306e-15,7.852912332504766e+39,1.1625854358659188e+40
11760-6104,999.0,0.0,999.0,999.0,999.0
11760-9101,0.3250287194239878,2.7510717773437503e-15,5.759307585724522e-15,9.9382147174894e+39,2.0805431498504997e+40
11760-9102,0.4313658106641151,2.16082421875e-14,5.760547567073928e-14,1.4916263690099196e+41,3.9765310738483265e+41
11761-12701,0.09524269286454486,1.1123520507812501e-14,1.381229502807934e-14,7.564351621906131e+39,9.392804753181931e+39
11761-12702,0.22722757993071857,1.2891524658203126e-14,2.160843681557653e-14,2.7885820134170125e+40,4.674148313685463e+40
11761-12703,0.2685084474426185,2.7369116210937502e-14,5.0388602423177257e-14,5.960392771172473e+40,1.0973531601015543e+41
11761-12704,0.4332147543288831,1.135394140625e-13,3.0395987282052835e-13,2.9440482662665386e+41,7.881602560492994e+41
11761-12705,0.46866304544512616,4.9020146484375005e-14,1.4224557434231252e-13,8.971174341308496e+40,2.6032354821934274e+41
11761-1901,-0.010997461041192426,1.268949890136719e-16,1.237621310781551e-16,2.3042351622770704e+38,2.247346852742178e+38
11761-1902,0.2614801020859521,2.5631250000000002e-14,4.644114764577349e-14,8.774208923919445e+40,1.5897950045768591e+41
11761-3701,999.0,0.0,999.0,999.0,999.0
11761-3702,999.0,0.0,999.0,999.0,999.0
11761-3703,0.467956114234982,1.8076375732421877e-14,5.2369404547148744e-14,3.765624111820061e+40,1.0909459694992801e+41
11761-3704,999.0,0.0,999.0,999.0,999.0
11761-6101,999.0,0.0,999.0,999.0,999.0
11761-6102,0.292718283154338,4.1543896484375e-14,8.08125324435733e-14,8.915561980629872e+40,1.73428398100145e+41
11761-6103,0.08424100027657683,2.9569526367187505e-14,3.581022779975712e-14,3.727109058905872e+40,4.513722092690133e+40
11761-6104,999.0,0.0,999.0,999.0,999.0
11761-9101,0.12473751088995748,9.369619140625001e-15,1.2441215382225592e-14,2.897099073749331e+40,3.846840839440717e+40
11823-12701,999.0,0.0,999.0,999.0,999.0
11823-12702,-19.925869107195652,1.3628488769531251e-14,2.9082364814260505e-34,1.4758625442518713e+41,3.149400762877973e+21
11823-12703,0.42120807401225746,1.6229330444335939e-15,4.227827055547919e-15,1.2208568359902151e+40,3.1803971087121814e+40
11823-12704,999.0,0.0,999.0,999.0,999.0
11823-12705,999.0,0.0,999.0,999.0,999.0
11823-1901,0.1826833527846834,1.2265059814453125e-14,1.857867238127377e-14,4.005670393891532e+40,6.067645738488955e+40
11823-1902,999.0,0.0,999.0,999.0,999.0
11823-3701,999.0,0.0,999.0,999.0,999.0
11823-3702,0.27296595079393265,1.3243818359375e-14,2.463117911314299e-14,1.821971045985615e+41,3.3885465622430963e+41
11823-3703,999.0,999.0,999.0,999.0,999.0
11823-3704,999.0,0.0,999.0,999.0,999.0
11823-6101,999.0,0.0,999.0,999.0,999.0
11823-6102,999.0,0.0,999.0,999.0,999.0
11823-6103,999.0,0.0,999.0,999.0,999.0
11823-6104,999.0,0.0,999.0,999.0,999.0
11823-9101,0.34440753965022214,1.2114025390625e-13,2.650254635144311e-13,7.364792548793844e+41,1.6112377975055693e+42
11823-9102,999.0,0.0,999.0,999.0,999.0
11824-12701,0.2692813027823116,2.95122216796875e-14,5.442975839036994e-14,2.3226084536118254e+41,4.283615728345296e+41
11824-12702,0.07960281236257544,6.116624755859375e-15,7.32986092428341e-15,6.496460083486761e+39,7.78503681568844e+39
11824-12703,999.0,0.0,999.0,999.0,999.0
11824-12704,999.0,0.0,999.0,999.0,999.0
11824-12705,0.4253620320744642,4.5311826171875005e-14,1.1915957996655383e-13,8.180877154580982e+40,2.1513807053376313e+41
11824-1901,0.15519545471713161,3.954553833007813e-15,5.627382618553406e-15,7.169952856305041e+39,1.0202938127341107e+40
11824-1902,999.0,0.0,999.0,999.0,999.0
11824-3701,0.2421310942272856,2.955092811584473e-16,5.123927093336936e-16,1.443374156554271e+39,2.5027112236875224e+39
11824-3702,999.0,0.0,999.0,999.0,999.0
11824-3703,999.0,0.0,999.0,999.0,999.0
11824-3704,999.0,0.0,999.0,999.0,999.0
11824-6101,0.2828222659459677,2.0908464431762697e-16,3.976713277234164e-16,3.919584552058012e+38,7.454906112441347e+38
11824-6103,999.0,0.0,999.0,999.0,999.0
11824-6104,999.0,0.0,999.0,999.0,999.0
11824-9101,0.1446123462700748,2.3069210052490236e-17,3.204749081098426e-17,4.1865756836835264e+37,5.815944518562086e+37
11824-9102,0.27607458148210934,3.363626708984375e-15,6.3001170629901576e-15,1.0072426067566088e+40,1.88657864930382e+40
11826-12701,-0.018585709572064988,1.4963824272155762e-16,1.4344809558226666e-16,1.5697552355316712e+38,1.5048185207996324e+38
11826-12702,0.1378398429418482,1.6058934326171877e-14,2.1968085743573815e-14,6.181725594671746e+40,8.456394126083077e+40
11826-12703,0.08329675539041599,7.34027099609375e-14,8.870388697486692e-14,7.501708185136379e+40,9.06547830900101e+40
11826-12704,0.18011617291388762,2.1407257080078126e-15,3.22382686786567e-15,8.277956066100588e+39,1.2466191757813604e+40
11826-12705,999.0,0.0,999.0,999.0,999.0
11826-1901,0.09968380415615931,5.362577056884766e-16,6.726379977453214e-16,2.20063607572962e+39,2.7602986922947656e+39
11826-1902,0.3026289134989037,2.44314013671875e-14,4.8607539963294645e-14,3.0885474730304812e+40,6.144825360918056e+40
11826-3701,0.21164134536887177,6.100289062500001e-14,9.869218194365332e-14,5.965028622975629e+40,9.650390073754156e+40
11826-3702,0.2430362406286647,8.442494506835938e-15,1.4668853238093333e-14,2.636752316842055e+40,4.581363094715758e+40
11826-3703,0.39346413480907666,7.816117553710938e-15,1.911696197858588e-14,3.008649916751353e+40,7.35867208625894e+40
11826-3704,0.13674823112540638,1.1777189941406251e-14,1.607087536984782e-14,1.635818585785269e+40,2.2321994253831945e+40
11826-6101,999.0,0.0,999.0,999.0,999.0
11826-6102,999.0,0.0,999.0,999.0,999.0
11826-6103,0.48692395190053284,7.25001220703125e-15,2.192956732906271e-14,4.495413648281286e+40,1.3597560039466422e+41
11826-6104,0.23512085211511866,1.05457177734375e-14,1.799647509309879e-14,1.106236787849162e+41,1.887814867352333e+41
11826-9101,0.182591218791732,1.22800966796875e-13,1.8597554374854962e-13,1.6157027097706032e+41,2.4468959636337288e+41
11826-9102,999.0,0.0,999.0,999.0,999.0
11827-12701,999.0,0.0,999.0,999.0,999.0
11827-12702,999.0,0.0,999.0,999.0,999.0
11827-12703,999.0,0.0,999.0,999.0,999.0
11827-12704,0.3124447872162952,1.34862548828125e-14,2.7437014784553938e-14,1.7239691534045381e+41,3.507316713282444e+41
11827-12705,0.11854510585583089,2.8824675292968755e-14,3.7739153293467547e-14,1.3704414226549588e+41,1.794271692694807e+41
11827-1901,999.0,0.0,999.0,999.0,999.0
11827-1902,0.9304584967135819,6.565196990966797e-16,5.442474335107968e-15,1.0241542215521246e+39,8.490123104697723e+39
11827-3701,999.0,0.0,999.0,999.0,999.0
11827-3702,999.0,0.0,999.0,999.0,999.0
11827-3703,999.0,0.0,999.0,999.0,999.0
11827-3704,999.0,0.0,999.0,999.0,999.0
11827-6101,999.0,0.0,999.0,999.0,999.0
11827-6102,0.8951418076507275,1.7805804443359377e-14,1.36221479184138e-13,8.26240084451173e+40,6.3210649551495935e+41
11827-6103,999.0,0.0,999.0,999.0,999.0
11827-6104,999.0,0.0,999.0,999.0,999.0
11827-9101,999.0,0.0,999.0,999.0,999.0
11827-9102,999.0,0.0,999.0,999.0,999.0
11830-12701,0.6189967477081282,2.949031005859375e-14,1.2043505853417585e-13,1.0323030276117611e+41,4.21580767745098e+41
11830-12702,0.1750500946812936,1.2325279998779298e-15,1.8348740033367604e-15,2.2314840254778552e+39,3.322027595004821e+39
11830-12703,0.34160086947473023,7.9632431640625e-14,1.7310848509808365e-13,1.6824186846707125e+41,3.657315792118535e+41
11830-12704,0.46979644114712926,1.9819941406250002e-14,5.766143056862407e-14,4.1851704524412215e+40,1.2175763314073063e+41
11830-12705,0.06141543634731061,1.519689464569092e-16,1.747367168512293e-16,9.910383934319754e+37,1.1395143493405929e+38
11830-1901,999.0,0.0,999.0,999.0,999.0
11830-1902,999.0,0.0,999.0,999.0,999.0
11830-3701,999.0,0.0,999.0,999.0,999.0
11830-3702,0.46048134582201017,4.948823547363282e-16,1.4095781325596598e-15,1.1606442793680041e+39,3.305874174376795e+39
11830-3703,0.716411284551931,3.3375662231445315e-15,1.7008699632449407e-14,5.019207824808645e+39,2.557857809472237e+40
11830-3704,0.5053309574286216,1.577630615234375e-14,4.975858786478038e-14,2.3803865847157645e+40,7.507757131736921e+40
11830-6102,0.33826692879601206,5.911876953125e-14,1.275447240162143e-13,8.59731845070291e+40,1.8548129769425944e+41
11830-6103,999.0,0.0,999.0,999.0,999.0
11830-6104,0.28325383200968635,2.4463677978515625e-15,4.657468586206102e-15,5.839598010350411e+39,1.1117602313586767e+40
11830-9101,999.0,0.0,999.0,999.0,999.0
11830-9102,0.25876832618931384,5.993864822387696e-16,1.079351839061017e-15,4.6005768748964757e+39,8.284539704856075e+39
11831-12701,999.0,0.0,999.0,999.0,999.0
11831-12702,0.34575779430891673,8.410519409179688e-16,1.8456736496942486e-15,6.008215450422446e+39,1.3184922831789941e+40
11831-12703,0.284941652294779,6.01264404296875e-15,1.1491054724120195e-14,1.242951835113632e+40,2.3754653451402726e+40
11831-12704,0.1931640707165671,7.984769287109376e-15,1.238665218090459e-14,1.090509211994091e+40,1.6916904951593403e+40
11831-12705,999.0,0.0,999.0,999.0,999.0
11831-1901,0.2060419598627473,4.6236474609375004e-14,7.385660422701625e-14,6.328037624207053e+40,1.0108196489746304e+41
11831-1902,999.0,0.0,999.0,999.0,999.0
11831-3701,999.0,0.0,999.0,999.0,999.0
11831-3703,999.0,0.0,999.0,999.0,999.0
11831-3704,0.42978320128869896,1.7967452392578128e-14,4.772747722978608e-14,2.8879722616725275e+40,7.67140646028179e+40
11831-6101,0.39611924245044605,1.102107421875e-14,2.7118948303239213e-14,5.590349000262378e+40,1.3755862861104595e+41
11831-6102,0.35514422225496783,2.4005380859375003e-14,5.381545009253185e-14,4.576676738493095e+40,1.0260029618061185e+41
